STATE,GDP_GROWTH_Q1_2021,PCT_UNINSURED,GDP_PC,POP,POP_DENSITY,DEATHS_PER_1M_7JUL2021,CUME_CASES_7JUL2021,CASE_FATALITY_RATE_7JUL2021,TESTS_7JUL2021,TEST_PER_1M_7JUL2021,CUME_DEATHS_7JUL2021,CASES_PER_1M_7JUL2021,NUM_DAYS_JAN_MAY_2020_PHASE1,FIPS,CUME_CASES_PHASE1,CUME_DEATHS_PHASE1,CASES_PER_1M_PHASE1,DEATHS_PER_1M_PHASE1,CUME_CASES_PHASE2,CUME_DEATHS_PHASE2,CASES_PER_1M_PHASE2,DEATHS_PER_1M_PHASE2,STATE2,DEATH_AVG_PHASE2,DEVIATION_DEATH_AVG_PHASE2,DEATH_AVG_PHASE1,DEVIATION_DEATH_AVG_PHASE1,TRUMP_2020,TRUMP_2016,TRUMP_CHANGE,NURSING_HOME_IMMUNITY,STAY_AT_HOME_ORDERS,TRAVEL_RESTRICTIONS,MASK_REQ,LN_DEATHS_PER_1M_7JUL2021,LN_CASES_PER_1M_7JUL2021,LN_POP_DENSITY,LN_GDP_PC
Kansas,7.3,10.2,60310,2937880,35.9,1773,319586,0.02,1455337,499547,5166,108781.1619,86,20,9878,211,3362.288453,71.82049641,309708,"4,955",105418.8735,1686.59033,Kansas,1409.972605,276.6177255,253.3705395,-181.5500431,0.5621,0.5665,0.0044,0,1,1,1,7.480428306,11.59709345,3.580737295,11.00725321
Kentucky,6.4,8.5,48697,4505836,114.1,1623,466244,0.02,6941164,1553642,7250,103475.5814,87,21,9937,441,2205.362113,97.8730695,456307,"6,809",101270.2193,1511.151316,Kentucky,1409.972605,101.1787108,253.3705395,-155.49747,0.6209,0.6252,0.0043,1,1,1,1,7.392031568,11.54709094,4.737075257,10.79337271
Louisiana,4.7,8.5,57445,4657757,107.8,2316,485803,0.02,7824054,1683029,10765,104299.7735,84,22,40021,2791,8592.333177,599.2154593,445782,"7,974",95707.4403,1711.982828,Louisiana,1409.972605,302.0102228,253.3705395,345.8449198,0.5846,0.5809,-0.0037,1,1,0,1,7.747596839,11.55502447,4.680277658,10.95858325
Maine,5.2,10.1,50915,1362359,44.2,641,69192,0.01,2765484,2057327,861,50788.37516,81,23,2325,89,1706.598628,65.32786145,66867,772,49081.77654,566.6641465,Maine,1409.972605,-843.3084585,253.3705395,-188.0426781,0.4402,0.4487,0.0085,0,1,1,1,6.463029457,10.83542277,3.788724789,10.83791285
Maryland,6.1,7.9,71838,6177224,636.1,1614,462736,0.02,10927231,1807444,9755,74910.02431,88,24,53456,2532,8653.725363,409.892858,409280,"7,223",66256.29895,1169.295463,Maryland,1409.972605,-240.6771415,253.3705395,156.5223185,0.3215,0.3391,0.0176,0,1,1,1,7.386470849,11.224043,6.455355784,11.18216886
Massachusetts,6.9,3.3,86942,7029917,901.2,2591,710519,0.03,23969707,3449125,18008,101070.7523,121,25,96965,6846,13793.19272,973.8379557,613554,"11,162",87277.55961,1587.78546,Massachusetts,1409.972605,177.8128554,253.3705395,720.4674162,0.3214,0.3281,0.0067,1,1,1,1,7.859799181,11.52357607,6.803727209,11.37299651
Michigan,7.6,8.5,54928,10077331,178,2106,1000908,0.02,14953233,1497291,21031,99322.72742,83,26,57355,5491,5691.487161,544.8863394,943553,"15,540",93631.24026,1542.07498,Michigan,1409.972605,132.102375,253.3705395,291.5157999,0.4784,0.475,-0.0034,1,1,0,1,7.652545693,11.5061297,5.18178355,10.91377852
Minnesota,7.5,5.9,68427,5706494,71.7,1364,606034,0.01,10377218,1840052,7693,106200.76,87,27,24860,1050,4356.440224,184.0008944,581174,"6,643",101844.3198,1164.112325,Minnesota,1409.972605,-245.8602796,253.3705395,-69.36964509,0.4528,0.4492,-0.0036,0,1,0,1,7.218176838,11.57308654,4.272490748,11.13352276
Mississippi,6.9,14.5,40464,2961279,63.1,2499,323214,0.02,2911438,978257,7436,109146.7572,82,28,15501,734,5234.562498,247.8658715,307713,"6,702",103912.1947,2263.211268,Mississippi,1409.972605,853.2386628,253.3705395,-5.504668037,0.576,0.5794,0.0034,1,1,0,1,7.823645931,11.60044865,4.14472077,10.60816797
Missouri,6.1,11.7,54879,6154913,89.5,1648,626126,0.02,7800545,1270979,10114,101727.8392,86,29,13297,784,2160.38797,127.3779174,612829,"9,330",99567.45124,1515.862206,Missouri,1409.972605,105.8896014,253.3705395,-125.9926221,0.568,0.5677,-0.0003,0,1,0,0,7.40731771,11.53005628,4.494238625,10.91288604
Montana,7.2,14.2,49540,1084225,7.4,1563,114102,0.01,1457325,1363543,1671,105238.3039,80,30,515,17,474.9936591,15.67940234,113587,"1,654",104763.3102,1525.513616,Montana,1409.972605,115.5410107,253.3705395,-237.6911372,0.5692,0.5617,-0.0075,0,1,1,1,7.35436233,11.56398262,2.00148,10.8105357
Nebraska,6.1,9.7,66737,1961504,25.5,1169,224873,0.01,3056982,1580319,2262,114643.1514,105,31,14101,178,7188.871397,90.74669233,210772,"2,084",107454.28,1062.450038,Nebraska,1409.972605,-347.5225666,253.3705395,-162.6238472,0.5851,0.5875,0.0024,0,0,0,0,7.063903961,11.64957955,3.238678452,11.1085148
Nevada,10.9,15.2,58570,3104614,28.3,1852,336562,0.02,3555730,1154399,5705,108407.0355,88,32,8628,419,2779.089446,134.960417,327934,"5,286",105627.946,1702.627122,Nevada,1409.972605,292.6545171,253.3705395,-118.4101225,0.4767,0.455,-0.0217,1,1,0,1,7.524021415,11.59364827,3.342861805,10.9779779
New Hampshire,8.4,9.2,66069,1377529,153.8,1011,99652,0.01,2448734,1800922,1374,72341.12676,91,33,4651,245,3376.335453,177.8546949,95001,"1,129",68964.7913,819.5834716,New Hampshire,1409.972605,-590.3891334,253.3705395,-75.51584461,0.4536,0.4661,0.0125,0,1,0,1,6.918695219,11.18914808,5.035653057,11.09845493
